Date,Portfolio,Portfolio Daily Return %,Portfolio Value,Portfolio Cumulative Return %
2026-04-24,Growth,2.1670000000000003,10046.653,0.467
2026-04-27,Conservative,0.336,9719.968,-2.8
2026-04-27,Growth,0.831,10130.141,1.301
2026-04-28,Conservative,0.25,9744.268,-2.557
2026-04-28,Growth,-0.5549999999999999,10073.919,0.739
2026-04-29,Conservative,0.5030000000000001,9793.281,-2.067
2026-04-29,Growth,-0.48450000000000004,10025.111,0.251
2026-04-30,Conservative,1.665,9956.34,-0.437
2026-04-30,Growth,-0.516,9973.381,-0.266
2026-05-01,Conservative,-0.873,9869.421,-1.306
2026-05-01,Growth,1.3850000000000002,10111.512,1.115
2026-05-04,Conservative,-1.165,9754.442,-2.456
2026-05-04,Growth,0.22999999999999998,10134.769,1.348
2026-05-05,Conservative,0.629,9815.797,-1.842
2026-05-05,Growth,0.16950000000000004,10151.947,1.519
2026-05-06,Conservative,0.618,9876.459,-1.235
2026-05-06,Growth,2.6975,10425.796,4.258
2026-05-07,Conservative,-1.713,9707.275,-2.927
2026-05-07,Growth,0.9995,10530.002,5.3
2026-05-08,Conservative,-1.447,9566.811,-4.332
2026-05-08,Growth,2.08,10749.026,7.49
2026-05-11,Conservative,-0.522,9516.872,-4.831
2026-05-11,Growth,1.2,10878.014,8.78
2026-05-12,Conservative,1.382,9648.395,-3.516
2026-05-12,Growth,-0.618,10810.788,8.108
2026-05-13,Conservative,-0.39899999999999997,9609.898,-3.901
2026-05-13,Growth,2.0505,11032.463,10.325
2026-05-14,Conservative,0.22300000000000003,9631.328,-3.687
2026-05-14,Growth,0.8929999999999999,11130.983,11.31
2026-05-15,Conservative,-0.648,9568.917,-4.311
2026-05-15,Growth,-2.665,10834.343,8.343
2026-05-18,Conservative,0.9490000000000001,9659.726,-3.403
2026-05-18,Growth,-1.2165,10702.543,7.025
2026-05-19,Conservative,0.015000000000000013,9661.175,-3.388
2026-05-19,Growth,-1.0325,10592.039,5.92
2026-05-20,Conservative,0.755,9734.117,-2.659
2026-05-20,Growth,1.97,10800.702,8.007
2026-05-21,Conservative,0.673,9799.628,-2.004
2026-05-21,Growth,0.011000000000000093,10801.89,8.019
2026-05-22,Conservative,0.854,9883.317,-1.167
2026-05-22,Growth,-0.030499999999999916,10798.596,7.986
2026-05-26,Conservative,-0.215,9862.068,-1.379
2026-05-26,Growth,0.2495,10825.538,8.255
2026-05-27,Conservative,-1.0519999999999998,9758.319,-2.417
2026-05-27,Growth,0.8565,10918.259,9.183
2026-05-28,Conservative,-0.19199999999999998,9739.583,-2.604
2026-05-28,Growth,0.6375,10987.863,9.879
2026-05-29,Conservative,0.1919999999999999,9758.283,-2.417
2026-05-29,Growth,-1.1280000000000001,10863.92,8.639
2026-06-01,Conservative,-0.9260000000000002,9667.921,-3.321
2026-06-01,Growth,-0.5000000000000004,10809.6,8.096
2026-06-02,Conservative,1.184,9782.389,-2.176
2026-06-02,Growth,0.3929999999999999,10852.082,8.521
2026-06-03,Conservative,0.13500000000000004,9795.595,-2.044
2026-06-03,Growth,-2.035,10631.242,6.312
2026-06-04,Conservative,3.178,10106.899,1.069
2026-06-04,Growth,0.7115,10706.883,7.069
2026-06-05,Conservative,0.7190000000000001,10179.568,1.796
2026-06-05,Growth,-4.515,10223.468,2.235
2026-06-08,Conservative,-0.649,10113.503,1.135
2026-06-08,Growth,1.206,10346.763,3.468
2026-06-09,Conservative,1.22,10236.887,2.369
2026-06-09,Growth,-1.649,10176.144,1.761
2026-06-10,Conservative,-0.19199999999999998,10217.232,2.172
2026-06-10,Growth,-2.6315,9908.359,-0.916
2026-06-11,Conservative,0.7349999999999999,10292.329,2.923
2026-06-11,Growth,2.4615,10152.253,1.523
2026-06-12,Conservative,1.639,10461.02,4.61
2026-06-12,Growth,-0.10850000000000004,10141.238,1.412
2026-06-15,Conservative,-1.1760000000000002,10337.999,3.38
2026-06-15,Growth,2.4985,10394.617,3.946
2026-06-16,Conservative,1.6660000000000001,10510.23,5.102
2026-06-16,Growth,-0.9185,10299.143,2.991
2026-06-17,Conservative,-0.15100000000000002,10494.359,4.944
2026-06-17,Growth,-1.9965,10093.52,0.935
2026-06-18,Conservative,-1.839,10301.368,3.014
2026-06-18,Growth,2.01,10296.4,2.964
2026-06-22,Conservative,2.7039999999999997,10579.917,5.799
2026-06-22,Growth,-1.2615,10166.511,1.665
